Time,T_el,T_ph
3.9927,442.7778091410209,440.63453327202245
3.9928000000000003,442.7708769876628,440.63453953560094
3.9929,442.7639465776368,440.6345457788719
3.993,442.75701791054996,440.6345520018405
3.9931000000000005,442.75009098600975,440.6345582045119
3.9932000000000003,442.74316580362336,440.63456438689127
3.9933,442.73624236299844,440.6345705489838
3.9934000000000003,442.7293206637424,440.63457669079463
3.9935,442.72240070546275,440.6345828123289
3.9936000000000003,442.7154824877672,440.63458891359176
3.9937000000000005,442.70856601026344,440.6345949945884
3.9938000000000002,442.70165127255916,440.6346010553239
3.9939,442.6947382742622,440.6346070958035
3.994,442.68782701498054,440.63461311603226
3.9941000000000004,442.6809174943219,440.6346191160154
3.9942,442.6740097118944,440.634625095758
3.9943,442.66710366730615,440.63463105526523
3.9944,442.6601993601652,440.6346369945423
3.9945,442.6532967900797,440.63464291359423
3.9946,442.64639595665795,440.63464881242624
3.9947000000000004,442.6394968595082,440.6346546910435
3.9948,442.63259949823896,440.63466054945116
3.9949,442.6257038724585,440.63466638765414
3.995,442.6188099817753,440.63467220565786
3.9951000000000003,442.61191782579806,440.63467800346734
3.9952,442.6050274041352,440.6346837810877
3.9953000000000003,442.5981387163956,440.63468953852407
3.9954,442.5912517621879,440.6346952757816
3.9955,442.58436654112086,440.6347009928654
3.9956000000000005,442.57748305280336,440.63470668978067
3.9957000000000003,442.57060129684436,440.6347123665325
3.9958,442.5637212728528,440.63471802312597
3.9959000000000002,442.5568429804377,440.6347236595662
3.996,442.54996641920826,440.63472927585843
3.9961,442.5430915887736,440.6347348720077
3.9962000000000004,442.5362184887429,440.6347404480191
3.9963,442.5293471187254,440.6347460038978
3.9964,442.5224774783307,440.6347515396489
3.9965,442.515609567168,440.63475705527765
3.9966000000000004,442.5087433848468,440.63476255078893
3.9967,442.5018789309767,440.63476802618806
3.9968000000000004,442.4950162060566,440.63477348147006
3.9969,442.4881552096263,440.6347789166415
3.997,442.48129594043917,440.6347843317174
3.9971000000000005,442.47443839810603,440.63478972670305
3.9972000000000003,442.46758258223804,440.6347951016033
3.9973,442.46072849244615,440.6348004564233
3.9974000000000003,442.45387612834173,440.6348057911682
3.9975,442.4470254895358,440.63481110584314
3.9976000000000003,442.4401765756398,440.63481640045313
3.9977000000000005,442.4333293862651,440.6348216750033
